deskripsi,komentar,menatap,memegang
"Sedang berjalan di sepanjang jalan yang ramai, memegang tangan ibu, ketika seorang lelaki tua meraba-raba pantat, saya menoleh untuk melihat h7m dan dia membuang muka, dan melakukannya lagi setelah beberapa saat. Saya berusia 12 tahun saat itu.",0,0,1
"Kejadian ini terjadi pada malam hari, saya berada di metro ketika dua orang mulai menatap.",0,1,0
SAYA MENUNGGU BUS. SEORANG PRIA DATANG DENGAN SEPEDA DAN MENAWARKAN GADIS MUDA LIFTVTO.,1,0,0
Insiden terjadi di dalam kereta,0,0,0
Saya menyaksikan sebuah insiden ketika sebuah rantai direnggut secara brutal dari seorang wanita tua. Peristiwa itu terjadi pada malam hari.,0,0,0
SATU HARI SAYA BERJALAN DI JORPATI SAYA MELIHAT SEORANG ANAK LAKI-LAKI MENCOBA T0 MENGAMBIL GAMBAR GADIS N GADIS TIDAK TAHU N ITELL DIA ABT DIA REPOT KE POLISH DI SEKITAR JORPATI,0,0,0
Saya telah mendengar tentang orang yang tidak senonoh membuat komentar yang tidak senonoh,0,0,0
"Saat saya masuk subway hari sudah gelap, jadi saya putuskan untuk kembali dari mereka, tapi tiba-tiba seorang pria datang ke saya amp memegang ampli tangan saya memaksa saya untuk keluar dari subway itu, dan juga menanyakan nomor saya. (Lajpat Nagar, kereta bawah tanah)",0,0,0
Undangan Seksual,0,0,0
penerangan jalan yang buruk,0,0,1
Catcall dan komentar yang lewat adalah dua hal mengerikan yang dilakukan oleh polisi Delhi di Bandara Internasional untuk saya dan teman saya. Sungguh mengerikan bahwa para pelindung dan penegak hukum di bandara bisa membuat seseorang jadi tidak nyaman.,1,1,0
"Ini terjadi di bus, angkutan umum. Itu di siang hari bolong. Saya sedang dalam perjalanan ke perguruan tinggi dan busnya tidak terlalu ramai. Ada cukup ruang bagi dua orang untuk berdiri bersandar dengan tas besar di atasnya. Laki-laki khusus ini berdiri di samping tempat duduk saya. Ada cukup banyak ruang di belakangnya. Tapi tidaaaaak ... Dia mulai menggosok selangkangannya ke pundakku, secara halus pada awalnya dan kemudian dengan sangat jelas. Saya membuat ketidaknyamanan saya menjadi sangat jelas. Tapi dia sepertinya tidak mengerti. Saya bergeser ke dalam kursi saya dan begitu pula dia. Saya pikir wanita di sebelah saya tahu apa yang sedang terjadi tetapi tidak mengatakan sepatah kata pun, begitu pula orang-orang di belakang saya maupun kondektur bus. Saya juga tidak pada awalnya, saya membeku dan dicekam dalam keterkejutan dan ketakutan. Saya pikir sekarang saya lebih siap untuk membuat omong kosong jika seseorang mencoba hal yang sama dengan saya. Tapi saya tidak akan pernah tahu.",0,0,1
"Suatu malam kami kembali ke rumah kami dari pesta, saya melihat seorang anak laki-laki mencoba untuk menyentuh seorang gadis muda, tetapi gadis itu sangat takut dan menangis, ketika kami mendekati mereka, anak laki-laki itu tiba-tiba lari.",0,0,0
"Beberapa orang biasa menatap dengan cara yang sangat tidak pantas yang tidak dapat ditoleransi, hal itu terjadi pada pagi dan malam hari.",1,0,1
orang-orang kampus setempat berkomentar.,1,0,0
membuat suara aneh dan menertawakan gadis-gadis,1,0,0
"Saya pergi untuk membeli es krim dan saya melihat 5 pria yang terlihat mabuk di sana, saya berbalik dan mulai berjalan pergi, tetapi mereka membuat ajakan seksual dari jauh.",1,0,0
Ada komentar dan tatapan ketika saya akan kembali ke pg saya selama jam sore.,1,1,0
teman saya sedang menyeberang jalan,1,1,0
"Kejadian ini terjadi pada tanggal 4 September 2013 sore hari, di metro di stasiun timur rohini, dua anak laki-laki sedang mengambil gambar sekelompok anak perempuan yang duduk di seberang.",0,0,0
"Ketika saya sedang berjalan di jalan, dua pria bersepeda memberikan komentar yang tidak senonoh. Itu terjadi di dekat stasiun metro vishvavidalaya pada sore hari sekitar jam 3 sore.",1,0,0
ketika saya kembali ke rumah dari perguruan tinggi seorang anak laki-laki mengomentari saya dan bersiul,1,0,0
pelecehan seksual selama jam kerja,1,1,0
"Saya sedang dalam perjalanan pulang dari tempat kerja saya di malam hari dan seorang pria mabuk dengan sengaja mencoba untuk menimpa saya, kemudian ketika dia melihat polisi di dekatnya dia ketakutan dan pergi, itu terjadi di dekat stasiun metro barat rohini.",0,0,1
gangguan,1,0,0
Catcall dan mengomentari st bus stan selama pagi dan sore.,1,0,0
Saya berjalan ke rumah saya setelah sekolah dan ketika saya sedang berjalan seorang anak laki-laki datang dari depan saya dan mengatakan kepada saya bahwa dia mencintaiku. Saya tidak tahu pria itu jadi saya mengabaikannya tetapi dia terus mengikuti saya dan tidak ada orang yang membantu saya,1,0,0
Beberapa orang bertingkah laku dengan kami.,1,1,1
guru memukuli murid,0,0,0
Pelakunya sedang menatap sekelompok gadis dan menatap serta berkomentar dengan cara yang sangat murahan. Kejadian ini terjadi pada sore hari.,1,1,0
"Aku kaget kenapa tidak ada kejadian yang dilaporkan dari Kota Pink. Goda Malam sangat umum terjadi pada gadis hampir setiap hari. Baiklah, biarkan aku berbagi 1 kejadian seperti itu pada temanku. Kami sedang belajar di salah satu gadis bergengsi kuliah di Jaipur dan tinggal sebagai tamu yang membayar di Cscheme jaipur. Dua teman saya pergi ke pasar untuk membeli sesuatu ketika tiba-tiba 1 mobil datang. Saya pikir mereka adalah 45 anak laki-laki di dalam mobil, salah satunya mencoba menyeret teman saya ke dalam mobil dengan meraba-raba di tempat yang salah, untungnya teman yang lain menyelamatkannya dengan berteriak, itu sangat mengerikan, dia masih tidak bisa melupakan kejadian itu .. ini bukan hanya 1 kasus .. Kejadian seperti ini terus terjadi disana ..",1,0,1
"Laporan dibuat di pasar jalan dadar, lokasi tepatnya antara penjualan besar ke toko maitreen. Para peserta tidak merasa aman di pasar jalanan dadar karena banyaknya kejadian penguntitan",0,0,0
Ada yang berkomentar dan berfoto di malam hari.,1,0,0
saya melihat seorang pria dengan paksa membawa seorang gadis bersamanya. Saya tidak tahu apa yang harus saya lakukan untuk membantunya dan tidak ada orang di sekitar yang membantunya. ini terjadi pada malam hari di pasar hari Kamis.,0,0,1
Anak laki-laki mengomentari dan meneriaki saya.,1,0,0
dia menyentuh payudara dan punggungku,0,0,1
anak laki-laki menyentuh seorang gadis di bus umum,0,0,1
ibu tiri mengejar seorang gadis keluar rumah pada malam hari,0,0,0
"Saya sedang menuju ke kantor ketika saya melihat seseorang mengikuti saya, saya memutuskan untuk mengubah rute dan saat itulah dia berteriak mengatakan saya pelacur dan tidak memiliki vagina emas .. !!!",1,0,0
"Ogling / Ekspresi Wajah di Gurgaon, Sohna",0,1,0
gangguan,0,1,0
sebagian besar bikers melakukan ini,1,0,0
"Saya sedang menikmati es krim bersama keluarga dan kami bersenang-senang, tiba-tiba saya merasakan seseorang memegang pinggul saya, awalnya saya merasa itu terjadi secara tidak sengaja tetapi kemudian harus melalui penyiksaan dua kali, saya takut mati dan merasa tak berdaya, bajingan bertubuh tinggi, berambut gondrong, berkulit gelap, serasa seperti pecandu narkoba, aku bisa mengenali wajahnya yang masih menghantuiku .....",0,0,1
di malam hari rantai dan telepon saya direnggut,0,0,0
sekelompok anak laki-laki berdiri di sana dan menatap kami. saat kami mulai bergerak salah satu dari mereka mengomentari teman saya.,1,1,0
"Duduk di meja, bekerja, manajer datang meminta pembaruan, hanya menatap dada wanita. Juga membuat komentar tidak senonoh kepada anggota yang baru bergabung tentang saree-nya.",1,1,0
pria melihat saya,1,0,0
"dia dihamili saat di sekolah, anak laki-laki biasa menelepon setiap saat dan mengganggunya",1,0,0
Pria itu hanya berdiri di depan pintu yang menghalangi jalanku dan menyebabkan gangguan.,0,0,0
Seorang anak laki-laki jangkung hampir sering menggodaku. Dia datang ke gerbang saya dan melakukan catcall dan menyanyikan lagu dengan cara yang tidak senonoh.,1,0,0
"seorang tetangga dengan paksa membius seorang gadis ke rumahnya, menguncinya dan menyerangnya secara seksual",0,0,0
Ogling dan menyentuh di kompartemen umum kereta Dombivli.,0,1,1
Sekelompok orang menggoda gadis dan mengucapkan kata-kata buruk,1,1,0
"Seorang teman saya pernah melakukan pelecehan seksual di dalam bus, meskipun kursi bus lain kosong sehingga lelaki tua itu duduk di dekatnya dan terus menyentuhnya dengan sengaja kemudian dia tidak ingin membuat keributan dan turun dari bus sekalipun itu bukankah dia berhenti.",1,1,1
Pria itu mengundang saya untuk kenikmatan seksual. Itu terjadi,0,0,0
"Saya sedang dalam perjalanan ke sekolah, seorang lelaki tua datang ke arah saya. Dia meraba-raba payudaranya dan itu sangat menyakitkan. Saya sangat takut dan saya lari ke sekolah. Saya memberi tahu teman-teman saya tentang hal itu dan mereka menertawakan saya dan mengolok-olok saya. Sejak saat itu aku terus tutup mulut.",0,0,1
Saya diikuti oleh seorang pria mabuk.,0,1,1
Seorang pria mendekati saya ketika saya sedang menunggu teman saya di jalan. Dia bilang dia akan memberi saya banyak uang jika saya pergi bersamanya untuk seks.,0,0,0
Lingkungan tidak senonoh di daerah ini dengan banyak peminum.,0,0,0
Saya melihat seorang anak laki-laki bersepeda mengomentari seorang gadis. Itu terjadi di malam hari.,1,0,0
"orang berkomentar, mengambil gambar. bisnisnya sehari-hari",1,1,0
beberapa anak laki-laki mengomentari kata-kata buruk kepada saya.,1,0,0
stasiun pusat mumbai,0,0,0
Kami sedang berjalan di sekitar gerbang India ketika seorang pria terus-menerus mengklik foto kami. Saya pribadi mengejarnya dan menghapus gambar-gambar itu. Itu terjadi pada sore hari.,0,0,0
Seorang tua menyentuh teman saya di dalam bus pada malam hari ketika ada banyak kesibukan.,1,0,1
Saya sedang berjalan ketika seorang pria datang dan mulai memberi tahu saya bahwa saat ini saya telah berhenti berbicara dengannya dan mengatakan kepada saya untuk pergi bersamanya ke rumahnya.,0,0,0
saya dianiaya di murga chowk. 2 pria menyambar dupatta saya dan mulai menyentuh saya secara tidak tepat di siang hari bolong. sungguh mengerikan bahwa kita tidak aman bahkan di siang hari,0,0,1
Saya akan membeli minyak tanah dan seorang pria menghentikan saya menutup mulut saya dan mencoba menyentuh payudara,0,0,1
Payudara Meraba-raba,0,0,1
Seseorang di metro Delhi sedang memotret gadis-gadis di ponselnya.,0,0,0
mengejar sepeda.,0,0,1
ini adalah area hostel wanita..banyak pria berdiri di sana dan berkomentar..dan beberapa menunjukkan bagian internal saat menyeberang dari area..tlz some1 membantu membuat area itu bebas dari para idiot .. beberapa akan menyentuh saat berjalan dari sepeda .. begitu menyedihkan..,0,0,1
"Saat berjalan di malam hari, seorang pria melewati saya dan berkomentar quot oye hoye, Kya lag rhi hai..quot",1,0,0
"Pada sore hari, saat bepergian dengan metro, ada banyak sentuhan di kompartemen umum.",0,0,1
Menatap dan menyentuh,0,0,1
